ds;country;polygon_source;polygon_id;polygon_name;tiles_visited_related_change;ratio_single_tile_users;baseline_name;baseline_type
19/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16817;0.23135;full_february;DAY_OF_WEEK
23/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16906;0.24006;full_february;DAY_OF_WEEK
24/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16919;0.25103;full_february;DAY_OF_WEEK
21/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16949;0.22996;full_february;DAY_OF_WEEK
18/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.17054;0.23781;full_february;DAY_OF_WEEK
31/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.17118;0.21943;full_february;DAY_OF_WEEK
20/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.17154;0.24566;full_february;DAY_OF_WEEK
24/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.17309;0.23977;full_february;DAY_OF_WEEK
19/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.17361;0.24519;full_february;DAY_OF_WEEK
19/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.17492;0.24397;full_february;DAY_OF_WEEK
16/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.17656;0.25377;full_february;DAY_OF_WEEK
25/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.18111;0.24839;full_february;DAY_OF_WEEK
13/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.18554;0.25552;full_february;DAY_OF_WEEK
05/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.18603;0.23706;full_february;DAY_OF_WEEK
07/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.19616;0.23612;full_february;DAY_OF_WEEK
06/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.20603;0.24021;full_february;DAY_OF_WEEK
22/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.20629;0.24646;full_february;DAY_OF_WEEK
06/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.20895;0.26666;full_february;DAY_OF_WEEK
27/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.21094;0.24445;full_february;DAY_OF_WEEK
21/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.21257;0.25825;full_february;DAY_OF_WEEK
21/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.21669;0.23668;full_february;DAY_OF_WEEK
20/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.21761;0.25392;full_february;DAY_OF_WEEK
20/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.21815;0.24291;full_february;DAY_OF_WEEK
21/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.23105;0.26805;full_february;DAY_OF_WEEK
20/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.23588;0.24862;full_february;DAY_OF_WEEK
28/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.23907;0.26512;full_february;DAY_OF_WEEK
23/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.24277;0.25433;full_february;DAY_OF_WEEK
15/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.24955;0.25485;full_february;DAY_OF_WEEK
26/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.24965;0.26564;full_february;DAY_OF_WEEK
18/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.25037;0.26001;full_february;DAY_OF_WEEK
14/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.25391;0.25907;full_february;DAY_OF_WEEK
14/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.26063;0.27218;full_february;DAY_OF_WEEK
24/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.26228;0.27568;full_february;DAY_OF_WEEK
13/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.26289;0.25926;full_february;DAY_OF_WEEK
01/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.2682;0.26747;full_february;DAY_OF_WEEK
24/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.27187;0.19112;full_february;DAY_OF_WEEK
